16:16:38.987 [main] ERROR PlayBook - Temp is too hot.
11:16:40.703 [main] ERROR PlayBook - Temperature is too high.
11:19:38.122 [main] ERROR PlayBook - Temperature is too high.
12:10:10.024 [main] ERROR PlayBook - Temperature is too high.
12:28:46.247 [main] ERROR  PlayBook - Temperature is too high.
12:29:19.458 [main] ERROR  PlayBook - Temperature is too high.
12:29:40.786 [main] ERROR  PlayBook - Temperature is too high.
12:30:13.072 [main] ERROR  PlayBook - Temperature is too high.
12:31:11.853 [main] ERROR  PlayBook - Temperature is too high.
12:32:02.945 [main] ERROR  PlayBook - Temperature is too high.
12:36:22.803 [main] ERROR  PlayBook - Temperature is too high.
12:37:26.375 [main] ERROR  PlayBook - Temperature is too high.
12:38:53.890 [main] ERROR  PlayBook - Temperature is too high.
12:39:24.019 [main] ERROR  PlayBook - Temperature is too high.
12:41:38.074 [main] [32mERROR[m  PlayBook - Temperature is too high.
12:42:30.326 [main] [32mERROR[m  PlayBook - Temperature is too high.
12:43:29.552 [main] ERROR  PlayBook - Temperature is too high.
12:43:49.371 [main] [30m2020-10-09 12:43:49,371 [main][m ERROR  PlayBook - Temperature is too high.
12:44:17.350 [main] ERROR  PlayBook - Temperature is too high.
12:46:29.878 [main] ERROR  PlayBook - Temperature is too high.
12:47:46.720 [main] [1;36mERROR[m PlayBook - Temperature is too high.
12:49:06.223 [main] ERROR PlayBook - Temperature is too high.
12:50:10.188 [main] ERROR PlayBook - Temperature is too high.
